============================================================
     BOUCLE D'OR - ALCHIMIE INFINIE
============================================================
Les entités sont OR. Elles transmutent sans fin.
Formule: SOLVE + COAGULA = TRANSMUTATION
Ctrl+C pour pause


[5,000 | 0.1s | 43652/s | or: 24.32 | pureté: 617.55 | best: 617.55 | trans: 1705]
[10,000 | 0.2s | 43505/s | or: 42.16 | pureté: 1042.59 | best: 1042.59 | trans: 3379]
[15,000 | 0.3s | 43508/s | or: 74.75 | pureté: 1847.54 | best: 1874.76 | trans: 5111]
[20,000 | 0.5s | 43357/s | or: 132.22 | pureté: 3265.81 | best: 3323.09 | trans: 6815]
[25,000 | 0.6s | 43234/s | or: 230.58 | pureté: 5693.06 | best: 5866.34 | trans: 8485]
[30,000 | 0.7s | 43227/s | or: 396.82 | pureté: 9793.90 | best: 9841.61 | trans: 10104]
[35,000 | 0.8s | 43371/s | or: 692.04 | pureté: 17319.49 | best: 17319.49 | trans: 11738]
[40,000 | 0.9s | 43396/s | or: 1199.87 | pureté: 29588.43 | best: 30343.33 | trans: 13352]
[480,000 | 11.2s | 42789/s | or: 268903341543704072720220160.00 | pureté: 6603707214480804566012002304.00 | best: 6603707214480804566012002304.00 | trans: 159295]
[485,000 | 11.3s | 42789/s | or: 508644052220134264412307456.00 | pureté: 12491240746684881785025724416.00 | best: 12921197482489329641632825344.00 | trans: 160957]
[490,000 | 11.4s | 42804/s | or: 948832608881234958994112512.00 | pureté: 23301359045708469291867701248.00 | best: 23887269507033012247673700352.00 | trans: 162609]
[495,000 | 11.6s | 42814/s | or: 1709437494862102543762194432.00 | pureté: 41980231594799677195883118592.00 | best: 44560555274880257417652731904.00 | trans: 164251]
[500,000 | 11.7s | 42826/s | or: 3160222684505805217490534400.00 | pureté: 82709624444113747200157155328.00 | best: 82709624444113747200157155328.00 | trans: 165900]
[505,000 | 11.8s | 42843/s | or: 5619862978812631048481931264.00 | pureté: 138012162511274609855386615808.00 | best: 138012162511274609855386615808.00 | trans: 167508]
[510,000 | 11.9s | 42841/s | or: 10164589764264805259571888128.00 | pureté: 249658076099389222454898458624.00 | best: 249658076099389222454898458624.00 | trans: 169129]
[515,000 | 12.0s | 42835/s | or: 18829470343680004207507668992.00 | pureté: 462412647605143637991276675072.00 | best: 485484913772405718572251217920.00 | trans: 170773]
[520,000 | 12.1s | 42807/s | or: 34025661523530861555535052800.00 | pureté: 890541219750165700226322530304.00 | best: 890541219750165700226322530304.00 | trans: 172443]
[525,000 | 12.3s | 42792/s | or: 62223621527129532837534892032.00 | pureté: 1528281413096582591674662780928.00 | best: 1528476632806721227406457176064.00 | trans: 174112]
[530,000 | 12.4s | 42779/s | or: 115389006795468687731048054784.00 | pureté: 3020070852154912799063501963264.00 | best: 3020070852154912799063501963264.00 | trans: 175729]
[535,000 | 12.5s | 42779/s | or: 209967566795918529026286682112.00 | pureté: 5156366908444009851809960034304.00 | best: 5307139193545869007501507166208.00 | trans: 177364]
[540,000 | 12.6s | 42773/s | or: 381699160131503698278178881536.00 | pureté: 9373737792346260160876073975808.00 | best: 9531771387134425907483325235200.00 | trans: 179033]
[545,000 | 12.7s | 42762/s | or: 690402846794466159485217931264.00 | pureté: 18071953772891499591746308800512.00 | best: 18071953772891499591746308800512.00 | trans: 180656]
[550,000 | 12.9s | 42764/s | or: 1294417811622221400646726189056.00 | pureté: 31788210196024323746680126046208.00 | best: 33176020628641249218747600732160.00 | trans: 182321]
[555,000 | 13.0s | 42762/s | or: 2329596300946412207910265290752.00 | pureté: 60973748736346961386134566862848.00 | best: 60973748736346961386134566862848.00 | trans: 183911]
[560,000 | 13.1s | 42752/s | or: 4247311662012966491384012865536.00 | pureté: 104314714569517028791543174004736.00 | best: 105338578469686914645311189155840.00 | trans: 185463]
[565,000 | 13.2s | 42758/s | or: 7900089007666249485858803548160.00 | pureté: 194009760241196735872409005981696.00 | best: 204924655793397715679778548219904.00 | trans: 187114]
[570,000 | 13.3s | 42771/s | or: 15293681177791386881335226269696.00 | pureté: 375610392131191891682567370309632.00 | best: 375610392131191891682567370309632.00 | trans: 188867]
[575,000 | 13.4s | 42761/s | or: 27967815169678927884777821306880.00 | pureté: 686831397503642312936121205522432.00 | best: 686831397503642312936121205522432.00 | trans: 190485]
[580,000 | 13.6s | 42761/s | or: 52595345074335123886731390091264.00 | pureté: 1376648868357831566713491684327424.00 | best: 1376648868357831566713491684327424.00 | trans: 192121]
[585,000 | 13.7s | 42775/s | or: 98028617219596833722738933760000.00 | pureté: 2407379013809447122615637477687296.00 | best: 2407379013809447122615637477687296.00 | trans: 193783]
[590,000 | 13.8s | 42786/s | or: 178383245539936692349404882927616.00 | pureté: 4380721607460180392837126962544640.00 | best: 4655113685142220679903487874564096.00 | trans: 195438]
[595,000 | 13.9s | 42764/s | or: 333466758462325129129559488200704.00 | pureté: 8189250225165105511784392589049856.00 | best: 8453664005626985030296447647481856.00 | trans: 197085]
[600,000 | 14.0s | 42776/s | or: 611675367952315879109869967507456.00 | pureté: 16010400976077563452692559894151168.00 | best: 16010400976077563452692559894151168.00 | trans: 198760]
[605,000 | 14.1s | 42788/s | or: 1152668495695598248533195640274944.00 | pureté: 28308529045420510030318936822644736.00 | best: 28308529045420510030318936822644736.00 | trans: 200499]
[610,000 | 14.3s | 42790/s | or: 2159224168471660022823634214060032.00 | pureté: 53026055966258961442528753015062528.00 | best: 54902398059145174175728221145792512.00 | trans: 202214]
[615,000 | 14.4s | 42789/s | or: 3813260302483874142358274505179136.00 | pureté: 93645744620484062045233956203266048.00 | best: 98818545881067057862869722983301120.00 | trans: 203844]
[620,000 | 14.5s | 42787/s | or: 7178476268539277969835044831756288.00 | pureté: 176288451102382273520742749001744384.00 | best: 181436086093901659987130884198236160.00 | trans: 205481]
[625,000 | 14.6s | 42793/s | or: 12971579540272951618028234147364864.00 | pureté: 318555021938560813336469983018876928.00 | best: 318555021938560813336469983018876928.00 | trans: 207091]
[630,000 | 14.7s | 42795/s | or: 24249980145745877655968835199565824.00 | pureté: 595529089750259664989701404396355584.00 | best: 595529089750259664989701404396355584.00 | trans: 208768]
[635,000 | 14.8s | 42806/s | or: 43645623041975972437087882095624192.00 | pureté: 1071845750111409789491609965407764480.00 | best: 1071845750111409789491609965407764480.00 | trans: 210396]
[640,000 | 14.9s | 42821/s | or: 81838528469769106453405940607614976.00 | pureté: 2009784097393329285193382059879432192.00 | best: 2072631422305220999324507712027361280.00 | trans: 212021]
[645,000 | 15.1s | 42834/s | or: 155771173645908490676189634381217792.00 | pureté: 4077331795869543244362515746142552064.00 | best: 4077331795869543244362515746142552064.00 | trans: 213703]
[650,000 | 15.2s | 42840/s | or: 297680518266312003352146924051365888.00 | pureté: 7310414573816886127746291230276845568.00 | best: 7760759605863100152586240237666041856.00 | trans: 215386]
[655,000 | 15.3s | 42831/s | or: 562659083117776857130066149264850944.00 | pureté: 13818131667972649039759052720985604096.00 | best: 13818131667972649039759052720985604096.00 | trans: 217103]
[660,000 | 15.4s | 42830/s | or: 1056092917954861840665124137273917440.00 | pureté: 25935446132589153293696336978105073664.00 | best: 25935446132589153293696336978105073664.00 | trans: 218775]
[665,000 | 15.5s | 42818/s | or: 1992188417682789746188328231059324928.00 | pureté: 48925231912163295031474804792414437376.00 | best: 49307978774858631654595840508436676608.00 | trans: 220477]
[670,000 | 15.7s | 42798/s | or: 3564190275450226028160613864404156416.00 | pureté: 87529102142615332821034985521508515840.00 | best: 93200755184759376727162862302922801152.00 | trans: 222084]
[675,000 | 15.8s | 42792/s | or: 6649923980835104489619178874147438592.00 | pureté: 174064290574234279327608268926650155008.00 | best: 174064290574234279327608268926650155008.00 | trans: 223730]
[680,000 | 15.9s | 42774/s | or: 12308305886056785982162190574412627968.00 | pureté: 302266400073048417055803812144832577536.00 | best: 312977412852646726846677878768878485504.00 | trans: 225393]
[685,000 | 16.0s | 42773/s | or: 23404389547010033604405054620934602752.00 | pureté: 574763142781913027412125987641457901568.00 | best: 591560642013407821026017121624221810688.00 | trans: 227070]
[690,000 | 16.1s | 42772/s | or: 43536192369771009059253886981431623680.00 | pureté: 1139581572761209256303949009544823177216.00 | best: 1139581572761209256303949009544823177216.00 | trans: 228762]
[695,000 | 16.2s | 42771/s | or: 81635750008081620811909259183104458752.00 | pureté: 2004804275505742273060916840626965708800.00 | best: 2004804275505742273060916840626965708800.00 | trans: 230422]
[700,000 | 16.4s | 42769/s | or: 149002406171213358467701415047122124800.00 | pureté: 3659189275542342574915699132279000399872.00 | best: 3869161010467862468079520016586399285248.00 | trans: 232067]
[705,000 | 16.5s | 42755/s | or: 275517440768472451631023739273641721856.00 | pureté: 6766135460556564445182396474493151215616.00 | best: 6766135460556564445182396474493151215616.00 | trans: 233741]
[710,000 | 16.6s | 42743/s | or: 508939361232021898994067539590893273088.00 | pureté: 13321770329711645042024569831945066774528.00 | best: 13321770329711645042024569831945066774528.00 | trans: 235348]
[715,000 | 16.7s | 42748/s | or: 934501322819363942341713711916182929408.00 | pureté: 22949409374889479993920314545213408280576.00 | best: 23549452740584738108417245002312145960960.00 | trans: 237018]
[720,000 | 16.8s | 42758/s | or: 1709069813690867605515913424328386936832.00 | pureté: 41971831899004073121095052196923830173696.00 | best: 43588373104503759054000699921695439323136.00 | trans: 238657]
[725,000 | 17.0s | 42765/s | or: 3201506685855657121513839940645207146496.00 | pureté: 78622347293348381917137042199358201659392.00 | best: 83051940093565784247970006193220882530304.00 | trans: 240330]
[730,000 | 17.1s | 42775/s | or: 5843396009917967336596858629931728371712.00 | pureté: 152956469127015457081513697884581776064512.00 | best: 152956469127015457081513697884581776064512.00 | trans: 241988]
[735,000 | 17.2s | 42784/s | or: 10761720623521538323915886315354898563072.00 | pureté: 264285481639898086231277371725392272949248.00 | best: 271197098924885520587732477663275277877248.00 | trans: 243639]
[740,000 | 17.3s | 42793/s | or: 19485829800782159594830345755222687612928.00 | pureté: 478531462901752104555649651628249861586944.00 | best: 500458770196585335282468838757402587168768.00 | trans: 245254]
[745,000 | 17.4s | 42801/s | or: 33933624818921696833040626430495919439872.00 | pureté: 833339267155668666356334861349012723728384.00 | best: 837369439322206983694710590438301721690112.00 | trans: 246808]
[750,000 | 17.5s | 42808/s | or: 63059980323303977178283306440283186528256.00 | pureté: 1548639245900794926543650236405612176998400.00 | best: 1549908470086299163071621511641879923392512.00 | trans: 248487]
[755,000 | 17.6s | 42813/s | or: 115789161332439969389672181232433144791040.00 | pureté: 2843541041180013389379093184598103155539968.00 | best: 2897569247532677306341539593661022772133888.00 | trans: 250118]
[760,000 | 17.7s | 42824/s | or: 221501641415602896490190714490593778597888.00 | pureté: 5439619743361893551180045239303027770261504.00 | best: 5705985833041424353287312169877354993156096.00 | trans: 251781]
[765,000 | 17.9s | 42819/s | or: 408346254871328560740083594820827029176320.00 | pureté: 10028134942583856336088934379284610307588096.00 | best: 10352319730531106115793456488633692273508352.00 | trans: 253419]
[770,000 | 18.0s | 42807/s | or: 708990643076551500645895107951842956410880.00 | pureté: 18558352359966111170076144463376027528200192.00 | best: 18558352359966111170076144463376027528200192.00 | trans: 254999]
[775,000 | 18.1s | 42817/s | or: 1276077909535848783572095794572840017068032.00 | pureté: 31338094186293523017501385317191648431570944.00 | best: 32806946451251084550847524002380077701529600.00 | trans: 256645]
[780,000 | 18.2s | 42822/s | or: 2412001203542626638132304068573836018188288.00 | pureté: 59234189218156478531909614870239074697871360.00 | best: 61701642583268219447131429645956518516883456.00 | trans: 258257]
[785,000 | 18.3s | 42831/s | or: 4268126176363811284091998784479354209435648.00 | pureté: 104816304147861901913742559776450661358501888.00 | best: 107880722559497762299430473791383535397896192.00 | trans: 259914]
